iter	MultiClass
0	1.03685856
1	0.9921730047
2	0.9469633082
3	0.9141085093
4	0.8770264164
5	0.8377677835
6	0.7969944314
7	0.7669591164
8	0.740110117
9	0.7141384003
10	0.6913118342
11	0.6724942433
12	0.6465187803
13	0.6227353271
14	0.6023205423
15	0.5828502674
16	0.5611501604
17	0.5458264484
18	0.531378617
19	0.5134855981
20	0.5010399309
21	0.4823425452
22	0.4698184843
23	0.4542972379
24	0.441131477
25	0.4268013521
26	0.4136067555
27	0.4002850117
28	0.3900495402
29	0.3783699706
30	0.3659578402
31	0.3561193004
32	0.3458871139
33	0.3384092337
34	0.3305226573
35	0.3205959066
36	0.3102383321
37	0.3031512092
38	0.2945633646
39	0.2895863056
40	0.2838337618
41	0.2764189961
42	0.2700669472
43	0.2656312907
44	0.260247138
45	0.2526923759
46	0.2463120587
47	0.2401047131
48	0.2344826507
49	0.2305746414
50	0.226162847
51	0.2208312947
52	0.2175359405
53	0.212230298
54	0.2095295471
55	0.2068119571
56	0.2029089149
57	0.1992402628
58	0.1955884882
59	0.1925646791
60	0.1882360405
61	0.1841025029
62	0.180968179
63	0.1786512567
64	0.1753364618
65	0.17261925
66	0.1699916216
67	0.166632585
68	0.1633529805
69	0.1620240222
70	0.1599398886
71	0.1572481752
72	0.1544314444
73	0.1526101651
74	0.1507356742
75	0.1487102545
76	0.146301093
77	0.1438614392
78	0.141732708
79	0.1402256571
80	0.1385048917
81	0.136608544
82	0.1350178439
83	0.1327338808
84	0.1306549817
85	0.1285861668
86	0.1270158321
87	0.1254881108
88	0.1233900201
89	0.1211738946
90	0.1193843669
91	0.1183907162
92	0.1166357284
93	0.1149935178
94	0.1137613461
95	0.1119965733
96	0.1099456101
97	0.1090751474
98	0.1072816892
99	0.1055470791
100	0.1049434575
101	0.1033597678
102	0.1022254864
103	0.1013180316
104	0.1000165669
105	0.09920016609
106	0.09767054992
107	0.09701403834
108	0.09621694259
109	0.09533843093
110	0.09378963718
111	0.09252132288
112	0.09156696807
113	0.09101000839
114	0.08999169309
115	0.08909727374
116	0.08741610968
117	0.08619453702
118	0.08497681835
119	0.0841273697
120	0.08322335699
121	0.08227359986
122	0.08105930154
123	0.08014794955
124	0.07925559193
125	0.0783569473
126	0.07741523452
127	0.07647350473
128	0.07576935174
129	0.07518927716
130	0.07410387028
131	0.07307580997
132	0.07220194323
133	0.07124405087
134	0.07076620367
135	0.06985502348
136	0.06897520919
137	0.06827344268
138	0.06738976308
139	0.06653341958
140	0.06576935824
141	0.06493482016
142	0.06419740518
143	0.06360341841
144	0.0628854891
145	0.06227181636
146	0.06155287586
147	0.06112902225
148	0.06046597882
149	0.05979824526
150	0.05900148255
151	0.05821059126
152	0.05767315827
153	0.05710260477
154	0.05641126005
155	0.05572407392
156	0.0549783781
157	0.05439680839
158	0.05391888731
159	0.05333145767
160	0.05275534271
161	0.05227018488
162	0.05184185597
163	0.05123705587
164	0.05071417075
165	0.05032625392
166	0.04983558013
167	0.04937108129
168	0.0488905948
169	0.04852995221
170	0.0481772986
171	0.0477883439
172	0.04731753609
173	0.04697840595
174	0.04653439701
175	0.04600606289
176	0.04559396323
177	0.04519794076
178	0.04465942895
179	0.04415614905
180	0.04376621573
181	0.04346344715
182	0.04318567414
183	0.04285293632
184	0.0425298657
185	0.0421911665
186	0.04194885309
187	0.0415335294
188	0.04118464817
189	0.04093242425
190	0.04056117354
191	0.04023497426
192	0.03996543197
193	0.039795166
194	0.03951484137
195	0.03929344103
196	0.03892367699
197	0.03864089899
198	0.03837093138
199	0.0380715829
200	0.03778702301
201	0.03753064261
202	0.03716791531
203	0.03692990616
204	0.03670661127
205	0.03641660567
206	0.03606966566
207	0.03586889687
208	0.03569720109
209	0.03541406244
210	0.03502372651
211	0.03482285726
212	0.03457423459
213	0.03439785074
214	0.03415736906
215	0.03388206245
216	0.0336944361
217	0.03350529343
218	0.03332968971
219	0.03313506057
220	0.0330184537
221	0.0328165942
222	0.03266353459
223	0.03239865236
224	0.03219079325
225	0.03192956029
226	0.03178813731
227	0.03162985199
228	0.03148387036
229	0.03125254689
230	0.03109811696
231	0.03087005946
232	0.03070791705
233	0.03060569651
234	0.03040036509
235	0.03016457375
236	0.03000292065
237	0.0297734147
238	0.02961106949
239	0.02946666758
240	0.02927669613
241	0.02915441189
242	0.02898351624
243	0.0288151237
244	0.02865561546
245	0.02845752908
246	0.02823203841
247	0.02812300094
248	0.02792403268
249	0.02777808036
250	0.02756857987
251	0.02741950234
252	0.02731557077
253	0.02714213047
254	0.02702607578
255	0.02685873987
256	0.02665255591
257	0.02651163473
258	0.02640103593
259	0.02624396442
260	0.02609053133
261	0.02594906262
262	0.02576629148
263	0.02566034956
264	0.02556570732
265	0.02536880184
266	0.02520828353
267	0.02513269802
268	0.02498477786
269	0.02484838125
270	0.02475362677
271	0.02464515592
272	0.02455160301
273	0.0244323434
274	0.02435911067
275	0.02425396332
276	0.02412442774
277	0.02401639197
278	0.0239118954
279	0.02381685034
280	0.023681121
281	0.02359337708
282	0.02352230615
283	0.02344013915
284	0.02332848167
285	0.02322326261
286	0.02309285
287	0.02302929969
288	0.02293833413
289	0.02280313574
290	0.02268670301
291	0.02260355429
292	0.02249721763
293	0.0224217285
294	0.02232691109
295	0.02223381083
296	0.0221314609
297	0.02202705003
298	0.02194925282
299	0.02183928824
